
Hydrogen	H	1	1.008	25	1	14.1	20.3	0.084*
Helium	He	2	4.003	31	2	-	4.2	0.17*
Lithium	Li	3	6.941	145	1	454	1615	0.53
Beryllium	Be	4	9.012	105	2	1551	3750	1.85
Boron	B	5	10.81	85	3	2349	4200	2.46
Carbon	C	6	12.011	70	4	3820	5100	3.51
Nitrogen	N	7	14.007	65	5	63.1	77.4	1.17*
Oxygen	O	8	15.999	60	6	54.4	90.2	1.33*
Fluorine	F	9	18.998	50	7	53.5	85.0	1.58*
Neon	Ne	10	20.180	38	8	24.6	27.1	0.84*
Sodium	Na	11	22.990	180	1	371	1156	0.97
Magnesium	Mg	12	24.305	150	2	923	1380	1.74
Aluminium	Al	13	26.920	125	3	933	2740	2.70
Silicon	Si	14	28.085	110	4	1683	2628	2.33
Phosphorus	P	15	30.974	100	5	317	550	1.82
Sulfur	S	16	62.065	100	6	338	718	2.06
Chlorine	Cl	17	35.453	100	7	172	239	2.95*
Argon	Ar	18	39.948	71	8	84	87	1.66*
Potassium	K	19	39.098	220	1	337	1032	0.86
Calcium	Ca	20	40.078	280	2	1115	1757	1.54
Scandium	Sc	21	44.956	160	-	1814	3103	2.99
Titanium	Ti	22	47.867	140	-	1941	3560	4.51
Vanadium	V	23	50.942	135	-	2183	3680	6.09
Chromium	Cr	24	51.996	140	-	2130	2945	7.14
Manganese	Mn	25	54.938	140	-	1517	2235	7.44
Iron	Fe	26	55.845	140	-	1808	3023	7.87
Cobalt	Co	27	58.993	135	-	1768	3200	8.89
Nickel	Ni	28	58.693	135	-	1738	3186	8.91
Copper	Cu	29	63.456	135	-	1358	2840	8.92
Zinc	Zn	30	65.39	135	-	693	1180	7.14
Gallium	Ga	31	69.723	130	3	303	2477	5.91
Germanium	Ge	32	72.64	125	4	1211	3093	5.32
Arsenic	As	33	74.922	115	5	-	889	5.72
Selenium	Se	34	78.96	115	6	494	958	4.82
Bromine	Br	35	79.904	115	7	266	332	3.14
Krypton	Kr	36	83.8	88	8	116	120	3.48*
Rubidium	Rb	37	85.468	235	1	312	961	1.53
Strontium	Sr	38	87.62	200	2	1050	1655	2.63
Yttrium	Y	39	88.906	180	-	1799	3609	4.47
Zirconium	Zr	40	91.224	155	-	2130	4682	6.51
Niob	Nb	41	92.906	145	-	2750	5017	8.58
Molybdenum	Mo	42	95.94	145	-	2896	4912	10.28
Technetium	Tc	43	98	135	-	2430	5150	11.49
Ruthenium	Ru	44	101.07	130	-	2607	4423	12.45
Rhodium	Rh	45	102.91	135	-	2273	3968	12.41
Palladium	Pd	46	106.42	140	-	1828	3236	12.02
Silver	Ag	47	107.87	160	-	1234	2435	10.49
Cadmium	Cd	48	112.41	155	-	594	1040	8.64
Indium	In	49	114.82	155	3	430	2345	7.31
Tin	Sn	50	118.71	145	4	505	2875	7.29
Antimony	Sb	51	121.76	145	5	904	1860	6.69
Tellurium	Te	52	127.6	140	6	723	1263	6.25
Iodine	I	53	126.90	140	7	387	457	4.94
Xenon	Xe	54	131.29	108	8	161	165	4.49*
Caesium	Cs	55	132.90	260	1	302	944	1.90
Barium	Ba	56	137.33	215	2	1000	1913	3.65
Lanthanum	La	57	138.91	195	-	1193	3730	6.16
Cerium	Ce	58	140.12	185	-	1068	3716	6.77
Praseodym	Pr	59	140.91	185	-	1204	3793	6.48
Neodym	Nd	60	144.24	185	-	1297	3373	7.00
Promethium	Pm	61	145	185	-	1315	3273	7.22
Samarium	Sm	62	150.36	185	-	1345	2076	7.54
Europium	Eu	63	151.96	185	-	1099	1800	6.16
Gadolinium	Gd	64	157.25	180	-	1585	3523	7.89
Terbium	Tb	65	158.92	175	-	1629	3503	8.25
Dysprosium	Dy	66	162.5	175	-	1680	2840	8.56
Holmium	Ho	67	163.93	175	-	1747	2963	8.78
Erbium	Er	68	167.26	175	-	1795	2783	9.05
Thulium	Tm	69	168.93	175	-	1818	2220	9.32
Ytterbium	Yb	70	173.04	175	-	1097	1467	6.97
Lutetium	Lu	71	174.97	175	-	1936	3668	9.84
Hafnium	Hf	72	178.49	155	-	2506	4876	13.31
Tantalum	Ta	73	180.95	145	-	3290	5731	16.68
Tungsten	W	74	183.84	135	-	3695	5828	19.26
Rhenium	Re	75	186.21	135	-	3459	5869	21.03
Osmium	Os	76	190.23	130	-	3306	5285	22.61
Iridium	Ir	77	192.22	135	-	2739	4701	22.65
Platinum	Pt	78	195.08	135	-	2045	4100	21.45
Gold	Au	79	196.97	135	-	1337	3129	19.32
Mercury	Hg	80	200.59	150	-	234	630	13.55
Thallium	Tl	81	204.38	190	3	577	1746	11.85
Lead	Pb	82	207.2	180	4	601	2023	11.34
Bismuth	Bi	83	208.98	160	5	544	1837	9.80
Polonium	Po	84	209	190	6	527	1235	9.20
Astatine	At	85	210	-	7	575	610	-
Radon	Rn	86	222	120	8	202	211	9.23*
Francium	Fr	87	223	-	1	~300	~950	-
Radium	Ra	88	226	215	2	973	2010	5.50
Actinium	Ac	89	227	195	-	1327	3473	10.07
Thorium	Th	90	232.04	180	-	2028	5061	11.72
Protactinium	Pa	91	231.04	180	-	2113	4300	15.37
Uranium	U	92	238.03	175	-	1406	4203	18.97
Neptunium	Np	93	237	175	-	912	4175	20.48
Plutonium	Pu	94	244	175	-	913	3509	19.74
Americium	Am	95	243	175	-	1449	2880	13.67
Curium	Cm	96	247	-	-	1613	3383	13.51
Berkelium	Bk	97	247	-	-	1259	-	13.25
Californium	Cf	98	251	-	-	1173	1743	15.1
Einsteinium	Es	99	252	-	-	1133	-	-
Fermium	Fm	100	257	-	-	1800	-	-
Mendelevium	Md	101	258	-	-	1100	-	-
Nobelium	No	102	259	-	-	1100	-	-
Lawrencium	Lr	103	262	-	-	-	-	-
Rutherfordium	Rf	104	267	-	-	-	-	-
Dubnium	Db	105	262	-	-	-	-	-
Seaborgium	Sg	106	266	-	-	-	-	-
Bohrium	Bh	107	264	-	-	-	-	-
Hassium	Hs	108	277	-	-	-	-	-
Meitnerium	Mt	109	268	-	-	-	-	-
Darmstadtium	Ds	110	281	-	-	-	-	-
Roentgenium	Rg	111	280	-	-	-	-	-
Copernicium	Cp	112	277	-	-	-	-	-
Nihonium	Nh	113	~287	-	3	-	-	-
Flerovium	Fl	114	289	-	4	-	-	-
Moscovium	Mc	115	~288	-	5	-	-	-
Livermorium	Lv	116	~289	-	6	-	-	-
Tenessine	Ts	117	~291	-	7	-	-	-
Oganesson	Og	118	294	-	8	-	-	-

